CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
30376,SOCW,400,Generalist SW Practice Methods,B,LCD,120155,"Casey, Anne",,,,,,,,,,,,,,,
30378,SOCW,400,Generalist SW Practice Methods,C,LCD,120155,"Culton, Kenneth W",,,,,,,,,,,,,,,
34358,SOCW,410,Social Welfare Pol and Svcs,15A,ONL,120155,"Cleeland, Leah R",3.86,0,20,10,2,0,0,0,0,0,0,0,0,0,0
38379,SOCW,410,Social Welfare Pol and Svcs,15B,ONL,120155,"Camp, Donna P",3.79,0,30,0,0,8,0,0,0,0,0,0,0,0,2
38270,SOCW,436,Intl SW & Development,A,ONL,120155,"Lough, Benjamin J",3.62,0,18,14,2,4,4,0,0,0,0,0,0,0,0
37990,SOCW,451,HBSE I: Human Development,A,LCD,120155,"Sheridan, Kathryn M",3.59,0,34,0,0,2,0,0,8,0,0,0,0,0,0
37404,SOCW,451,HBSE I: Human Development,B,LCD,120155,"Mulvey, Philip W",3.95,0,36,2,2,0,0,0,0,0,0,0,0,0,0
37405,SOCW,451,HBSE I: Human Development,C,LCD,120155,"Sheridan, Kathryn M",3.82,0,30,0,0,4,2,0,0,0,0,0,0,0,0
36028,SOCW,505,Behav and Cogn Methods for SW,A,LCD,120155,"Cintron, Valerie",3.92,8,12,2,2,0,0,0,0,0,0,0,0,0,0
38596,SOCW,505,Behav and Cogn Methods for SW,S1,LEC,120155,"Cintron, Valerie",,,,,,,,,,,,,,,
36027,SOCW,509,Adv Clin Assess & Interviewing,A,LCD,120155,"Culton, Kenneth W",,,,,,,,,,,,,,,
37878,SOCW,526,Managing Human Service Orgs,RU,ONL,120155,"Zaleski, Judith",3.68,0,36,0,0,12,0,0,2,0,0,0,0,0,0
30385,SOCW,531,Practice in Org Settings,A,ONL,120155,"McDonald, Hellen G",3.83,0,18,4,0,0,2,0,0,0,0,0,0,0,0
30386,SOCW,531,Practice in Org Settings,B,ONL,120155,"Escobar-Sawicki, Christin",3.93,0,42,0,2,2,0,0,0,0,0,0,0,0,0
30388,SOCW,531,Practice in Org Settings,C,ONL,120155,"Maurer, Mary F",,,,,,,,,,,,,,,
33208,SOCW,531,Practice in Org Settings,D,ONL,120155,"Bedient, Mary Lou",,,,,,,,,,,,,,,
37469,SOCW,531,Practice in Org Settings,S1,ONL,120155,"McDonald, Hellen G",,,,,,,,,,,,,,,
37470,SOCW,531,Practice in Org Settings,S3,ONL,120155,"Maurer, Mary F",3.86,0,18,8,2,0,0,0,0,0,0,0,0,0,0
27118,SOCW,561,International SW & Development,BJL,ONL,120155,"Lough, Benjamin J",,,,,,,,,,,,,,,
29985,SPAN,103,Intermediate Spanish,1A,LCD,120155,"Gallegos Perez, Carmen C",3.0,0,4,6,6,4,0,2,4,0,0,0,2,0,4
30405,SPAN,103,Intermediate Spanish,2B,LCD,120155,"Lugo, Monica E",1.79,0,0,0,2,6,2,4,4,0,0,0,4,6,0
31184,SPAN,122,Intensive Elementary Spanish,1C,LCD,120155,"Vicente Urrutia, Jone",2.89,2,4,6,0,0,2,4,0,2,4,0,0,0,0
29992,SPAN,141,Intro to Spanish Grammar,1C,LCD,120155,"Villalobos Romo, Gerardo",2.31,0,4,2,2,4,4,2,6,0,0,0,0,6,0
33509,SPAN,200,Readings in Hispanic Texts,2A,ONL,120155,"Melgares Sabill, Jeriel J",,,,,,,,,,,,,,,
37053,SPAN,200,Readings in Hispanic Texts,2B,ONL,120155,"Mason, Sara A",3.21,0,10,6,0,4,0,2,0,2,0,0,2,0,0
30426,SPAN,228,Spanish Composition,2A,ONL,120155,"Rector, Amanda K",3.14,0,10,2,6,6,2,4,2,0,2,0,0,0,0
