CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
52647,MUS,405,Analytical Systems 20thC Mus,B,LCD,120101,"Taylor, Stephen A",,,,,,,,,,,,,,,
52955,MUS,405,Analytical Systems 20thC Mus,C,LCD,120101,"Yao, Chen",,,,,,,,,,,,,,,
36432,MUS,406,Advanced Composition,AD4,CNF,120101,"Taube, Heinrich K",,,,,,,,,,,,,,,
36438,MUS,406,Advanced Composition,AD6,CNF,120101,"Tharp, Reynold",,,,,,,,,,,,,,,
36441,MUS,406,Advanced Composition,AD8,CNF,120101,"Taylor, Stephen A",,,,,,,,,,,,,,,
36435,MUS,406,Advanced Composition,AD9,CNF,120101,"Tipei, Sever",,,,,,,,,,,,,,,
36445,MUS,408,Analysis of Musical Form,C,LCD,120101,"Blume, Philipp",3.79,4.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36446,MUS,408,Analysis of Musical Form,E,LCD,120101,"Browning, Zack D",,,,,,,,,,,,,,,
36493,MUS,409,Elec Music Techniques II,A,LBD,120101,"Wyatt, Scott A",,,,,,,,,,,,,,,
36448,MUS,411,Music in the Renaissance,A,LCD,120101,"Ward, Tom R",3.57,1.0,12.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36449,MUS,413,Music of the 18th Century,A,LCD,120101,"Paquette-Abt, Mary",,,,,,,,,,,,,,,
36450,MUS,415,Music of the 20th Century,A,LCD,120101,"Solis, Gabriel",3.6,0.0,15.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36452,MUS,417,Area Studies Ethnomusicology,A,LCD,120101,"Rios, Fernando E",,,,,,,,,,,,,,,
36453,MUS,417,Area Studies Ethnomusicology,B,LCD,120101,"Buchanan, Donna A",,,,,,,,,,,,,,,
48901,MUS,426,Orchestration,A,LBD,120101,"Tharp, Reynold",,,,,,,,,,,,,,,
36503,MUS,430,Applied Music Pedagogy,A,LBD,120101,"Hendricks, Karin S",,,,,,,,,,,,,,,
36516,MUS,430,Applied Music Pedagogy,A2,LBD,120101,"Yeung, Ann M",,,,,,,,,,,,,,,
36505,MUS,430,Applied Music Pedagogy,B,LBD,120101,"Davis, Ollie W",,,,,,,,,,,,,,,
36507,MUS,430,Applied Music Pedagogy,C1,LBD,120101,"Keeble, Jonathan",,,,,,,,,,,,,,,
36520,MUS,430,Applied Music Pedagogy,D4,LBD,120101,"Chasanov, Elliot L",,,,,,,,,,,,,,,
